index,date,open,high,low,close,volume
0,2021-09-10 09:00:00,1.1827,1.1827,1.1821,1.1823,0
1,2021-09-10 08:59:00,1.1827,1.1827,1.1824,1.1827,0
2,2021-09-10 08:58:00,1.1826,1.1827,1.1825,1.1827,0
3,2021-09-10 08:57:00,1.1828,1.1829,1.1825,1.1826,0
4,2021-09-10 08:56:00,1.1828,1.1829,1.1826,1.1827,0
5,2021-09-10 08:55:00,1.1829,1.1829,1.1826,1.1828,0
6,2021-09-10 08:54:00,1.1832,1.1832,1.1827,1.1829,0
7,2021-09-10 08:53:00,1.1831,1.1832,1.1829,1.1831,0
8,2021-09-10 08:52:00,1.1832,1.1833,1.1829,1.1831,0
9,2021-09-10 08:51:00,1.1834,1.1834,1.1829,1.1832,0
10,2021-09-10 08:50:00,1.1835,1.1836,1.1832,1.1834,0
11,2021-09-10 08:49:00,1.1838,1.1838,1.1834,1.1835,0
12,2021-09-10 08:48:00,1.1839,1.1840,1.1837,1.1838,0
13,2021-09-10 08:47:00,1.1839,1.1840,1.1836,1.1839,0
14,2021-09-10 08:46:00,1.1835,1.1839,1.1835,1.1839,0
15,2021-09-10 08:45:00,1.1837,1.1837,1.1834,1.1837,0
16,2021-09-10 08:44:00,1.1837,1.1837,1.1834,1.1837,0
17,2021-09-10 08:43:00,1.1837,1.1838,1.1835,1.1837,0
18,2021-09-10 08:42:00,1.1834,1.1837,1.1833,1.1837,0
19,2021-09-10 08:41:00,1.1834,1.1836,1.1832,1.1835,0
20,2021-09-10 08:40:00,1.1836,1.1837,1.1832,1.1835,0
21,2021-09-10 08:39:00,1.1835,1.1836,1.1833,1.1836,0
22,2021-09-10 08:38:00,1.1834,1.1836,1.1833,1.1835,0
23,2021-09-10 08:37:00,1.1835,1.1836,1.1833,1.1834,0
24,2021-09-10 08:36:00,1.1834,1.1836,1.1833,1.1836,0
25,2021-09-10 08:35:00,1.1834,1.1835,1.1832,1.1835,0
26,2021-09-10 08:34:00,1.1835,1.1836,1.1832,1.1834,0
27,2021-09-10 08:33:00,1.1836,1.1836,1.1833,1.1835,0
28,2021-09-10 08:32:00,1.1836,1.1837,1.1834,1.1835,0
29,2021-09-10 08:31:00,1.1838,1.1839,1.1834,1.1836,0
30,2021-09-10 08:30:00,1.1839,1.1842,1.1836,1.1837,0
31,2021-09-10 08:29:00,1.1839,1.1840,1.1837,1.1839,0
32,2021-09-10 08:28:00,1.1839,1.1840,1.1837,1.1839,0
33,2021-09-10 08:27:00,1.1839,1.1839,1.1837,1.1838,0
34,2021-09-10 08:26:00,1.1838,1.1838,1.1836,1.1837,0
35,2021-09-10 08:25:00,1.1839,1.1839,1.1836,1.1836,0
36,2021-09-10 08:24:00,1.1839,1.1839,1.1836,1.1839,0
37,2021-09-10 08:23:00,1.1837,1.1839,1.1836,1.1839,0
38,2021-09-10 08:22:00,1.1835,1.1839,1.1833,1.1839,0
39,2021-09-10 08:21:00,1.1836,1.1837,1.1832,1.1835,0
40,2021-09-10 08:20:00,1.1837,1.1838,1.1834,1.1837,0
41,2021-09-10 08:19:00,1.1838,1.1838,1.1834,1.1837,0
42,2021-09-10 08:18:00,1.1839,1.1839,1.1836,1.1838,0
43,2021-09-10 08:17:00,1.1840,1.1840,1.1837,1.1839,0
44,2021-09-10 08:16:00,1.1840,1.1840,1.1837,1.1840,0
45,2021-09-10 08:15:00,1.1841,1.1841,1.1838,1.1840,0
46,2021-09-10 08:14:00,1.1840,1.1841,1.1839,1.1841,0
47,2021-09-10 08:13:00,1.1839,1.1840,1.1838,1.1839,0
48,2021-09-10 08:12:00,1.1840,1.1840,1.1837,1.1840,0
49,2021-09-10 08:11:00,1.1840,1.1840,1.1837,1.1839,0
50,2021-09-10 08:10:00,1.1840,1.1841,1.1838,1.1840,0
51,2021-09-10 08:09:00,1.1840,1.1840,1.1837,1.1840,0
52,2021-09-10 08:08:00,1.1839,1.1840,1.1837,1.1839,0
53,2021-09-10 08:07:00,1.1839,1.1840,1.1837,1.1839,0
54,2021-09-10 08:06:00,1.1838,1.1839,1.1837,1.1839,0
55,2021-09-10 08:05:00,1.1837,1.1838,1.1835,1.1837,0
56,2021-09-10 08:04:00,1.1837,1.1837,1.1834,1.1837,0
57,2021-09-10 08:03:00,1.1836,1.1837,1.1834,1.1837,0
58,2021-09-10 08:02:00,1.1835,1.1837,1.1833,1.1837,0
59,2021-09-10 08:01:00,1.1834,1.1836,1.1832,1.1834,0
60,2021-09-10 08:00:00,1.1833,1.1835,1.1831,1.1834,0
61,2021-09-10 07:59:00,1.1831,1.1834,1.1831,1.1833,0
62,2021-09-10 07:58:00,1.1833,1.1833,1.1830,1.1833,0
63,2021-09-10 07:57:00,1.1833,1.1833,1.1830,1.1832,0
64,2021-09-10 07:56:00,1.1833,1.1833,1.1830,1.1833,0
65,2021-09-10 07:55:00,1.1834,1.1835,1.1831,1.1833,0
66,2021-09-10 07:54:00,1.1834,1.1835,1.1832,1.1834,0
67,2021-09-10 07:53:00,1.1835,1.1835,1.1832,1.1834,0
68,2021-09-10 07:52:00,1.1835,1.1836,1.1833,1.1835,0
69,2021-09-10 07:51:00,1.1835,1.1836,1.1834,1.1835,0
70,2021-09-10 07:50:00,1.1835,1.1835,1.1833,1.1835,0
71,2021-09-10 07:49:00,1.1835,1.1836,1.1833,1.1835,0
72,2021-09-10 07:48:00,1.1836,1.1836,1.1833,1.1833,0
73,2021-09-10 07:47:00,1.1835,1.1836,1.1834,1.1835,0
74,2021-09-10 07:46:00,1.1835,1.1836,1.1833,1.1835,0
75,2021-09-10 07:45:00,1.1837,1.1837,1.1834,1.1836,0
76,2021-09-10 07:44:00,1.1836,1.1837,1.1834,1.1837,0
77,2021-09-10 07:43:00,1.1835,1.1837,1.1834,1.1835,0
78,2021-09-10 07:42:00,1.1835,1.1837,1.1834,1.1835,0
79,2021-09-10 07:41:00,1.1835,1.1836,1.1834,1.1834,0
80,2021-09-10 07:40:00,1.1835,1.1836,1.1833,1.1835,0
81,2021-09-10 07:39:00,1.1835,1.1836,1.1833,1.1836,0
82,2021-09-10 07:38:00,1.1834,1.1836,1.1833,1.1834,0
83,2021-09-10 07:37:00,1.1834,1.1836,1.1833,1.1835,0
84,2021-09-10 07:36:00,1.1836,1.1836,1.1833,1.1835,0
85,2021-09-10 07:35:00,1.1835,1.1836,1.1833,1.1834,0
86,2021-09-10 07:34:00,1.1834,1.1836,1.1833,1.1835,0
87,2021-09-10 07:33:00,1.1834,1.1835,1.1832,1.1835,0
88,2021-09-10 07:32:00,1.1834,1.1835,1.1833,1.1834,0
89,2021-09-10 07:31:00,1.1834,1.1835,1.1832,1.1834,0
90,2021-09-10 07:30:00,1.1833,1.1835,1.1832,1.1834,0
91,2021-09-10 07:29:00,1.1835,1.1836,1.1833,1.1835,0
92,2021-09-10 07:28:00,1.1835,1.1836,1.1833,1.1835,0
93,2021-09-10 07:27:00,1.1834,1.1835,1.1832,1.1835,0
94,2021-09-10 07:26:00,1.1834,1.1834,1.1832,1.1834,0
95,2021-09-10 07:25:00,1.1835,1.1835,1.1832,1.1833,0
96,2021-09-10 07:24:00,1.1834,1.1835,1.1833,1.1834,0
97,2021-09-10 07:23:00,1.1833,1.1834,1.1831,1.1834,0
98,2021-09-10 07:22:00,1.1833,1.1834,1.1831,1.1833,0
99,2021-09-10 07:21:00,1.1833,1.1834,1.1831,1.1833,0
100,2021-09-10 07:20:00,1.1833,1.1834,1.1831,1.1832,0
101,2021-09-10 07:19:00,1.1832,1.1833,1.1830,1.1832,0
102,2021-09-10 07:18:00,1.1831,1.1832,1.1829,1.1831,0
103,2021-09-10 07:17:00,1.1830,1.1831,1.1828,1.1831,0
104,2021-09-10 07:16:00,1.1830,1.1831,1.1828,1.1830,0
105,2021-09-10 07:15:00,1.1831,1.1831,1.1828,1.1829,0
106,2021-09-10 07:14:00,1.1831,1.1831,1.1828,1.1831,0
107,2021-09-10 07:13:00,1.1831,1.1831,1.1829,1.1831,0
108,2021-09-10 07:12:00,1.1831,1.1831,1.1828,1.1831,0
109,2021-09-10 07:11:00,1.1832,1.1832,1.1829,1.1831,0
110,2021-09-10 07:10:00,1.1832,1.1832,1.1829,1.1830,0
111,2021-09-10 07:09:00,1.1833,1.1833,1.1830,1.1832,0
112,2021-09-10 07:08:00,1.1832,1.1833,1.1831,1.1833,0
113,2021-09-10 07:07:00,1.1832,1.1833,1.1831,1.1833,0
114,2021-09-10 07:06:00,1.1833,1.1833,1.1829,1.1832,0
115,2021-09-10 07:05:00,1.1831,1.1833,1.1830,1.1832,0
116,2021-09-10 07:04:00,1.1831,1.1832,1.1829,1.1831,0
117,2021-09-10 07:03:00,1.1831,1.1832,1.1830,1.1830,0
118,2021-09-10 07:02:00,1.1830,1.1831,1.1829,1.1831,0
119,2021-09-10 07:01:00,1.1829,1.1830,1.1827,1.1830,0
120,2021-09-10 07:00:00,1.1829,1.1831,1.1828,1.1829,0
121,2021-09-10 06:59:00,1.1830,1.1831,1.1828,1.1830,0
122,2021-09-10 06:58:00,1.1830,1.1830,1.1827,1.1829,0
123,2021-09-10 06:57:00,1.1829,1.1830,1.1827,1.1828,0
124,2021-09-10 06:56:00,1.1828,1.1829,1.1827,1.1828,0
125,2021-09-10 06:55:00,1.1827,1.1829,1.1826,1.1828,0
126,2021-09-10 06:54:00,1.1829,1.1830,1.1826,1.1827,0
127,2021-09-10 06:53:00,1.1829,1.1830,1.1828,1.1830,0
128,2021-09-10 06:52:00,1.1827,1.1829,1.1827,1.1829,0
129,2021-09-10 06:51:00,1.1829,1.1829,1.1825,1.1828,0
130,2021-09-10 06:50:00,1.1829,1.1829,1.1826,1.1829,0
131,2021-09-10 06:49:00,1.1829,1.1830,1.1827,1.1829,0
132,2021-09-10 06:48:00,1.1831,1.1831,1.1828,1.1829,0
133,2021-09-10 06:47:00,1.1830,1.1831,1.1828,1.1829,0
134,2021-09-10 06:46:00,1.1831,1.1831,1.1829,1.1830,0
135,2021-09-10 06:45:00,1.1831,1.1832,1.1829,1.1831,0
136,2021-09-10 06:44:00,1.1833,1.1833,1.1830,1.1832,0
137,2021-09-10 06:43:00,1.1831,1.1833,1.1830,1.1831,0
138,2021-09-10 06:42:00,1.1831,1.1832,1.1829,1.1830,0
139,2021-09-10 06:41:00,1.1829,1.1833,1.1829,1.1830,0
140,2021-09-10 06:40:00,1.1831,1.1832,1.1830,1.1831,0
141,2021-09-10 06:39:00,1.1830,1.1831,1.1828,1.1831,0
142,2021-09-10 06:38:00,1.1831,1.1832,1.1829,1.1831,0
143,2021-09-10 06:37:00,1.1832,1.1832,1.1829,1.1831,0
144,2021-09-10 06:36:00,1.1831,1.1832,1.1829,1.1830,0
145,2021-09-10 06:35:00,1.1829,1.1831,1.1828,1.1831,0
146,2021-09-10 06:34:00,1.1831,1.1831,1.1829,1.1830,0
147,2021-09-10 06:33:00,1.1831,1.1832,1.1829,1.1831,0
148,2021-09-10 06:32:00,1.1832,1.1832,1.1829,1.1831,0
149,2021-09-10 06:31:00,1.1832,1.1832,1.1830,1.1831,0
150,2021-09-10 06:30:00,1.1832,1.1833,1.1830,1.1832,0
151,2021-09-10 06:29:00,1.1832,1.1833,1.1830,1.1832,0
152,2021-09-10 06:28:00,1.1829,1.1833,1.1829,1.1833,0
153,2021-09-10 06:27:00,1.1832,1.1832,1.1829,1.1831,0
154,2021-09-10 06:26:00,1.1832,1.1832,1.1830,1.1832,0
155,2021-09-10 06:25:00,1.1832,1.1832,1.1829,1.1831,0
156,2021-09-10 06:24:00,1.1832,1.1832,1.1830,1.1832,0
157,2021-09-10 06:23:00,1.1833,1.1834,1.1830,1.1832,0
158,2021-09-10 06:22:00,1.1833,1.1834,1.1831,1.1832,0
159,2021-09-10 06:21:00,1.1834,1.1834,1.1831,1.1833,0
160,2021-09-10 06:20:00,1.1835,1.1835,1.1832,1.1833,0
161,2021-09-10 06:19:00,1.1835,1.1836,1.1832,1.1835,0
162,2021-09-10 06:18:00,1.1836,1.1836,1.1833,1.1835,0
163,2021-09-10 06:17:00,1.1836,1.1837,1.1833,1.1836,0
164,2021-09-10 06:16:00,1.1836,1.1837,1.1833,1.1835,0
165,2021-09-10 06:15:00,1.1836,1.1836,1.1833,1.1836,0
166,2021-09-10 06:14:00,1.1836,1.1836,1.1833,1.1836,0
167,2021-09-10 06:13:00,1.1836,1.1837,1.1834,1.1836,0
168,2021-09-10 06:12:00,1.1834,1.1836,1.1833,1.1834,0
169,2021-09-10 06:11:00,1.1836,1.1836,1.1833,1.1835,0
170,2021-09-10 06:10:00,1.1836,1.1836,1.1834,1.1836,0
171,2021-09-10 06:09:00,1.1838,1.1838,1.1834,1.1836,0
172,2021-09-10 06:08:00,1.1836,1.1838,1.1834,1.1837,0
173,2021-09-10 06:07:00,1.1836,1.1836,1.1834,1.1836,0
174,2021-09-10 06:06:00,1.1835,1.1836,1.1833,1.1836,0
175,2021-09-10 06:05:00,1.1836,1.1836,1.1833,1.1835,0
176,2021-09-10 06:04:00,1.1838,1.1838,1.1834,1.1836,0
177,2021-09-10 06:03:00,1.1836,1.1838,1.1835,1.1838,0
178,2021-09-10 06:02:00,1.1837,1.1837,1.1834,1.1835,0
179,2021-09-10 06:01:00,1.1837,1.1837,1.1835,1.1835,0
180,2021-09-10 06:00:00,1.1836,1.1838,1.1834,1.1837,0
181,2021-09-10 05:59:00,1.1835,1.1836,1.1834,1.1836,0
